LoopVal, B, b, Hops
2,1,2,34
2,2,2,33
2,3,2,29
2,4,2,33
3,1,2,38
3,2,2,39
3,3,2,35
3,4,2,36
4,1,2,39
4,2,2,37
4,3,2,37
4,4,2,37
5,1,2,47
5,2,2,48
5,3,2,37
5,4,2,40
9,1,2,67
9,2,2,48
9,3,2,51
9,4,2,52
10,1,2,51
10,2,2,50
10,3,2,52
10,4,2,53
11,1,2,53
11,2,2,52
11,3,2,55
11,4,2,56
12,1,2,55
12,2,2,54
12,3,2,69
12,4,2,70
13,1,2,70
13,2,2,69
13,3,2,72
13,4,2,73
2,1,3,34
2,2,3,33
2,3,3,27
2,4,3,33
3,1,3,35
3,2,3,36
3,3,3,35
3,4,3,36
4,1,3,35
4,2,3,37
4,3,3,37
4,4,3,37
5,1,3,37
5,2,3,38
5,3,3,47
5,4,3,45
9,1,3,49
9,2,3,48
9,3,3,51
9,4,3,52
10,1,3,51
10,2,3,50
10,3,3,52
10,4,3,53
11,1,3,53
11,2,3,52
11,3,3,55
11,4,3,56
12,1,3,55
12,2,3,54
12,3,3,57
12,4,3,58
13,1,3,57
13,2,3,56
13,3,3,59
13,4,3,60
2,1,4,32
2,2,4,35
2,3,4,27
2,4,4,33
3,1,4,38
3,2,4,36
3,3,4,35
3,4,4,36
4,1,4,35
4,2,4,37
4,3,4,37
4,4,4,37
5,1,4,42
5,2,4,38
5,3,4,37
5,4,4,55
9,1,4,58
9,2,4,57
9,3,4,42
9,4,4,43
10,1,4,61
10,2,4,60
10,3,4,62
10,4,4,43
11,1,4,64
11,2,4,63
11,3,4,44
11,4,4,45
12,1,4,67
12,2,4,66
12,3,4,45
12,4,4,46
13,1,4,70
13,2,4,69
13,3,4,46
13,4,4,47
2,1,5,32
2,2,5,33
2,3,5,29
2,4,5,33
3,1,5,38
3,2,5,39
3,3,5,35
3,4,5,36
4,1,5,39
4,2,5,37
4,3,5,37
4,4,5,37
5,1,5,42
5,2,5,43
5,3,5,37
5,4,5,40
9,1,5,49
9,2,5,48
9,3,5,51
9,4,5,43
10,1,5,51
10,2,5,50
10,3,5,52
10,4,5,53
11,1,5,53
11,2,5,52
11,3,5,55
11,4,5,45
12,1,5,55
12,2,5,54
12,3,5,57
12,4,5,46
13,1,5,57
13,2,5,56
13,3,5,72
13,4,5,47
2,1,6,32
2,2,6,33
2,3,6,27
2,4,6,35
3,1,6,35
3,2,6,39
3,3,6,38
3,4,6,36
4,1,6,39
4,2,6,41
4,3,6,41
4,4,6,37
5,1,6,42
5,2,6,43
5,3,6,42
5,4,6,40
9,1,6,49
9,2,6,48
9,3,6,51
9,4,6,52
10,1,6,51
10,2,6,50
10,3,6,52
10,4,6,53
11,1,6,53
11,2,6,52
11,3,6,55
11,4,6,56
12,1,6,55
12,2,6,54
12,3,6,57
12,4,6,58
13,1,6,57
13,2,6,56
13,3,6,59
13,4,6,60
2,1,7,32
2,2,7,33
2,3,7,27
2,4,7,33
3,1,7,35
3,2,7,36
3,3,7,38
3,4,7,39
4,1,7,39
4,2,7,41
4,3,7,41
4,4,7,41
5,1,7,42
5,2,7,43
5,3,7,42
5,4,7,45
9,1,7,49
9,2,7,48
9,3,7,51
9,4,7,52
10,1,7,51
10,2,7,50
10,3,7,52
10,4,7,53
11,1,7,53
11,2,7,52
11,3,7,55
11,4,7,56
12,1,7,55
12,2,7,54
12,3,7,57
12,4,7,58
13,1,7,57
13,2,7,56
13,3,7,59
13,4,7,60
2,1,8,32
2,2,8,33
2,3,8,27
2,4,8,33
3,1,8,35
3,2,8,36
3,3,8,35
3,4,8,39
4,1,8,35
4,2,8,41
4,3,8,41
4,4,8,41
5,1,8,42
5,2,8,43
5,3,8,42
5,4,8,45
9,1,8,49
9,2,8,48
9,3,8,51
9,4,8,52
10,1,8,51
10,2,8,50
10,3,8,52
10,4,8,53
11,1,8,53
11,2,8,52
11,3,8,55
11,4,8,56
12,1,8,55
12,2,8,54
12,3,8,57
12,4,8,58
13,1,8,57
13,2,8,56
13,3,8,59
13,4,8,60
2,1,9,32
2,2,9,33
2,3,9,27
2,4,9,33
3,1,9,35
3,2,9,36
3,3,9,35
3,4,9,36
4,1,9,35
4,2,9,37
4,3,9,37
4,4,9,41
5,1,9,47
5,2,9,43
5,3,9,42
5,4,9,45
9,1,9,49
9,2,9,48
9,3,9,51
9,4,9,52
10,1,9,51
10,2,9,50
10,3,9,52
10,4,9,53
11,1,9,53
11,2,9,52
11,3,9,55
11,4,9,56
12,1,9,55
12,2,9,54
12,3,9,57
12,4,9,58
13,1,9,57
13,2,9,56
13,3,9,59
13,4,9,60
